#StaName,X,Y,Z
STN01,621.48055,3966.2386,-0.316
STN02,634.68526,3979.4999,-0.342
STN03,663.68858,3977.2729,-0.276
STN04,687.47744,3975.8271,-0.290
STN05,712.71487,3969.5400,-0.285
STN06,727.40909,3990.9448,-0.257
STN07,608.32112,3993.8353,-0.345
STN08,635.61774,4004.9005,-0.359
STN09,655.82406,4004.8385,-0.310
STN10,685.56557,4002.1461,-0.287
STN11,704.04987,4004.0014,-0.252
STN12,725.36567,4015.5837,-0.260
STN13,605.86676,4018.6895,-0.343
STN14,623.10915,4036.9357,-0.329
STN15,645.85019,4023.9406,-0.316
STN16,668.08071,4024.2542,-0.294
STN17,687.61964,4030.3934,-0.299
STN18,710.92702,4032.8951,-0.255
STN19,598.05291,4060.2995,-0.337
STN20,612.52100,4042.5274,-0.339
STN21,628.43666,4068.3620,-0.333
STN22,642.15928,4047.8412,-0.312
STN23,661.14193,4058.1086,-0.296
STN24,602.07753,4086.5655,-0.344
STN26,659.60238,4088.1608,-0.353
STN31,640.73478,3958.2139,-0.329
STN32,666.94152,3950.1099,-0.292
STN33,706.27702,3948.2976,-0.272
STN34,671.50726,3923.6902,-0.339
STN35,700.55634,3924.2819,-0.320
